,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-25,2019-11-26,2019-11-27,2019-11-28
0xUniverse,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null
Planet BOOM!,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,
YOLOrekt,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,
Slots,null,null,null,null,null,null,null,null,null,,,,,,,,,,null,null,null,null,,,
Queen Vs King,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null
TronFund.io,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,
HyperDragons Go,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Baccarat Live,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,
Big&Small,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,,
Crypto Sword & Magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,null,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,https://medium.com/crypto-sword-magic,,,,,,
CryptoThrone 加密王座-无限世界,null,null,,null,null,null,null,null,null,,,,,,,,,,,,,,,,
CryptoSpells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,null,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,https://medium.com/crypto-spells,,,
Blockchain Cuties,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,https://medium.com/@blockchaincutie,,,
Bankroll,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,
IOST Dex,null,null,null,null,null,null,null,null,,null,null,null,null,null,,,null,null,null,null,null,null,,,
High & Low,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null
TRXMarket,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,
DeFind,null,null,,,,,,,,,,,,,,,,,,,,,,,
CryptoZombies,null,null,,,,,,,,,,,,,,,,,null,null,null,null,null,,
7Tron,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,,,,,
ForkDelta,null,null,null,null,null,,,null,null,null,null,null,null,null,,null,null,null,null,null,,null,,,
SuperPlayer,null,null,null,,,,,,,,,,,,,,,,,,,,,,
Dozerbird,https://medium.com/dozerfriends,,https://medium.com/dozerfriends,https://medium.com/dozerfriends,,,,,,,,,,,,,https://medium.com/dozerfriends,https://medium.com/dozerfriends,,,,,,,
Crypto Sanguo,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,,,,,,,,,,,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,https://medium.com/@cryptosanguo/crypto-sanguos-official-presale-guideline-8a2ad578f408,,,,,
Kyber,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null
Tewkenaire,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,,,
IDEX,,,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,,https://medium.com/aurora-dao,https://medium.com/aurora-dao,https://medium.com/aurora-dao,null,https://medium.com/aurora-dao,,,,
Evolutions,,,null,,,,,,,,,,null,,,,,,,,,,,,
GoodLuck Casino,,,,null,null,null,null,null,null,null,null,null,,,,,null,null,null,null,null,null,,,
ENME,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,
Smartex,,,,null,,,,,,null,null,null,,,,,,,null,,,null,,,null
EOSMMM,,,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,
CryptoFriends,,,,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,
NEST,,,,,,,null,,,,,,,,,null,,,,,,,,,
BETFURY,,,,,,,,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,https://medium.com/betfury-io,null,https://medium.com/betfury-io,https://medium.com/betfury-io
imToken Tokenlon,,,,,,,,,,,null,,,,,,,,,,,,,,
EtherHives,,,,,,,,,,,,,null,,,,,,,,,,,,
Frag Raffle,,,,,,,,,,,,,null,,null,,null,null,null,,,,,,
Spinach,,,,,,,,,,,,,,null,null,,,,,,,,,,
Uniswap,,,,,,,,,,,,,,null,,null,null,null,,null,null,,,,
WhaleEx,,,,,,,,,,,,,,,null,null,null,,,,,,,,
MillionMoney,,,,,,,,,,,,,,,,,null,null,,,,null,,,
Knight Story,,,,,,,,,,,,,,,,,,,,null,,null,,null,
Compound,,,,,,,,,,,,,,,,,,,,https://medium.com/compound-finance,https://medium.com/compound-finance,https://medium.com/compound-finance,,,
TGOLDe,,,,,,,,,,,,,,,,,,,,,null,null,,null,null
Gods Unchained,,,,,,,,,,,,,,,,,,,,,null,,,,
OpenSea,,,,,,,,,,,,,,,,,,,,,https://medium.com/@opensea,https://medium.com/@opensea,,,
WhiteBetting,,,,,,,,,,,,,,,,,,,,,null,null,,,
NEOFish,,,,,,,,,,,,,,,,,,,,,,,,null,null
Aeonplay,,,,,,,,,,,,,,,,,,,,,,,,null,null
